Make,Model,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026
DODGE,Durango,,,,,,,,,,,,,,60727,64398,64186,68474,68761,65947,67599,57828,65935,55433,,,,
DODGE,GRAND CARAVAN,,,,,,226771,211140,176150,123749,90666,103313,110962,154136,124019,134152,97141,125375,125196,151927,122648,38765,3037,27,25,2,,
DODGE,HORNET,,,,,,,,,,,,,,,,,,,,,,,,9314,20559,9367,
DODGE,INTREPID,,,,,,285,,,,,,,,,,,,,,,,,,,,,
DODGE,JOURNEY,,,,,,,,,47097,53826,48577,55155,85811,83933,93572,105400,106223,89470,94096,74687,40341,14034,194,34,,13,
DODGE,Journey,,,,,,,,,,,,,,83933,93572,105400,106759,89470,94096,74686,40342,14035,194,,,,
DODGE,MAGNUM,,,,,,52487,40095,30166,6912,113,,,,,,,,,,,,,,,,,
DODGE,NEON,,,,,,113332,17239,,,,,,,,,,,,,,,,,,,,
DODGE,NITRO,,,,,,,16990,74825,36368,17443,22618,24434,4200,,,,,,,,,,,,,,
DODGE,RAM/RAM PICKUP,,,,,,400543,364177,358295,245840,177268,199652,244763,312958,355673,439789,451116,487558,500723,536980,633694,563676,569389,468344,444927,373118,374060,
DODGE,VIPER,,,,,,1652,1455,435,1172,482,392,197,20,591,760,676,626,585,19,5,6,6,1,2,,,
DODGE,Viper,,,,,,,,,,,,,,591,760,676,630,585,19,5,4,4,1,,,,
FERRARI,296,,,,,,,,,,,,,,,,,,,,,,,41,,,,
FERRARI,SF90 Spider,,,,,,,,,,,,,,,,,,,,,,,166,,,,
FERRARI,SF90 Stradale,,,,,,,,,,,,,,,,,,,,,8,378,254,,,,
FERRARI,Unclassified,,,,,,,,,,,,,,,,2258,2398,2517,2488,2587,2020,,,,,,
FIAT,124 Spider,,,,,,,,,,,,,,,,,2475,4478,3515,2644,1729,952,24,,,,
FIAT,500,,,,,,,,,,,,14825,46999,36375,33705,25084,15587,12685,5370,3267,674,51,340,16,970,1141,
FIAT,500L,,,,,,,,,,,,,,6861,12413,7863,3116,1664,1413,772,475,188,89,6,,2,
FIAT,500X,,,,,,,,,,,,,,,,9463,12599,7665,5223,2519,1444,1180,463,552,560,178,
FORD,BRONCO,,,,,,,,,,,,,,,,,,,,,5120,108169,99547,127476,138150,134493,10641
FORD,Bronco,,,,,,,,,,,,,,,,,,,,,,35023,117057,,,,
FORD,Bronco Sport,,,,,,,,,,,,,,,,,,,,,5120,108169,99547,,,,
FORD,C-MAX,,,,,,,,,,,,,13309,35210,27595,21768,19834,18390,6683,49,,,,,,,
FORD,C0MAX,,,,,,,,,,,,,,35210,27595,21768,19834,18390,6683,38,,,,,,,
FORD,CROWN VICTORIA,,,,,,63939,62976,60901,48557,33255,33722,46725,4977,,,,,,,,,,,,,,
FORD,Crown Victoria,,,,,,,,,,,,,,10897,10234,9765,9472,7994,,,,,,,,,
FORD,E-SERIES,,,,,,148738,148043,136749,97919,64787,84459,91305,106187,102705,88896,50541,54245,53304,47936,45063,37001,37122,32150,42957,43563,40968,3354
FORD,E0Series,,,,,,,,,,,,,,125356,103263,50788,54245,53304,47936,45063,37001,37122,32150,,,,
FORD,ECOSPORT,,,,,,,,,,,,,,,,,,,54348,60599,60544,40659,29193,2508,,,
FORD,EDGE,,,,,,,2201,130125,110798,88548,118637,121702,138504,129109,108864,124120,134588,142603,134122,138514,108886,85225,85465,106098,70417,3717,
FORD,ESCAPE,,,,,,165122,157395,165596,156544,173044,191026,254293,279674,295993,306209,306492,307069,308296,272228,241387,178495,145415,137370,140968,157331,139396,3418
FORD,ESCORT,110736,90503,51857,25473,1210,,,,,,,,,,,,,,,,,,,,,,
FORD,EXCURSION,,,,,,16283,965,,,,,,,,,,,,,,,,,,,,
FORD,EXPEDITION,,,,,,114137,87203,90287,55123,31655,37336,40498,41112,38260,44632,41443,59835,51883,54661,86423,77838,81988,62007,73396,83018,85921,5269
FORD,EXPLORER,,,,,,239788,179229,137817,78439,52190,60687,135704,174647,192397,209994,249251,248507,271131,261571,187061,226215,219871,207763,186769,206981,222706,17655
FORD,EcoSport,,,,,,,,,,,,,,,,,,,54348,64708,60545,40659,29193,,,,
FORD,Edge,,,,,,,,,,,,,,129109,108864,124120,134588,142603,134122,138515,108886,85225,85465,,,,
FORD,Escape,,,,,,,,,,,,,,295993,306212,306492,307069,308296,272228,241388,178496,145415,137370,,,,
FORD,Expedition,,,,,,,,,,,,,,38350,44632,41443,59835,51883,54661,86422,77838,81988,62007,,,,
FORD,Explorer,,,,,,,,,,,,,,192397,209994,249251,248507,271131,261571,187061,226217,219871,207673,,,,
FORD,F-SERIES,,,,,,901463,796039,691589,515513,413625,528349,584917,692589,764402,753851,780354,820799,896764,909330,896526,787372,726003,653957,750789,834641,828842,47981
FORD,F0Series,,,,,,,,,,,,,,763402,753851,780354,820799,896764,909330,896526,787422,726004,653957,,,,
FORD,FIESTA,,,,,,,,,,,23273,68374,62293,71073,63192,64458,48807,46249,51730,60148,3354,,,,,,
FORD,FIVE HUNDRED / TAURUS,,,,,14106,108832,84218,35146,52667,45617,68859,63526,74375,79960,62629,48816,44098,41236,36088,13351,,,,,,,
FORD,FLEX,,,,,,,,,14457,38717,34227,27608,30236,25953,23822,19570,22588,22389,20308,24485,4849,,,,,,
FORD,FUSION,,,,,,16983,142502,149552,147569,180581,219219,248067,263036,295280,306860,300170,265840,209623,173600,166045,110665,11781,,,,,
FORD,Fiesta,,,,,,,,,,,,,,71073,63192,64458,48807,46249,51730,60148,3354,,,,,,
FORD,Flex,,,,,,,,,,,,,,25953,23822,19570,22668,22389,20308,24484,4848,,,,,,
FORD,Focus,,,,,,,,,,,,,,234570,219634,202478,168789,158385,113345,12480,,,,,,,
FORD,Fusion,,,,,,,,,,,,,,295280,306860,300170,265840,209623,173600,166045,110665,11781,,,,,
FORD,GT,,,,,,1302,1919,231,,,,,,,,,,89,126,698,125,143,89,31,,,
FORD,MAVERICK,,,,,,,,,,,,,,,,,,,,,,13258,74370,94058,157345,155051,9985
FORD,MUSTANG,,,,,,160975,166530,134626,91251,66623,73716,70438,90706,77186,82635,122349,105932,81866,75842,72489,61090,52384,47566,53159,47212,45333,3609
FORD,MUSTANG MACH E,,,,,,,,,,,,,,,,,,,,,3,27140,39458,40771,56337,51620,1040
FORD,Maverick,,,,,,,,,,,,,,,,,,,,,,13258,74370,,,,
FORD,Mustang,,,,,,,,,,,,,,77186,82635,122349,105932,81866,75842,72489,61090,52414,47566,,,,
FORD,Mustang Mach0E,,,,,,,,,,,,,,,,,,,,,3,27140,39458,,,,
FORD,RANGER,,,,,,120958,92420,72711,65872,55600,55364,70832,23848,,,,,,,83571,101485,94755,56987,32334,51591,70960,5671
FORD,Ranger,,,,,,,,,,,,,,,,,,,,89571,101486,94755,57005,,,,
FORD,THUNDERBIRD,,,,,,9548,469,,,,,,,,,,,,,,,,,,,,
FORD,TRANSIT,,,,,,,,,,,,,,,20448,117577,143244,127360,137794,153867,131557,99745,99382,129009,164373,161797,8159
FORD,TRANSIT CONNECT,,,,,,,,,,8834,27405,31914,37521,39703,43210,52221,43232,34473,31923,41597,34596,26112,25140,18050,9152,,
FORD,Taurus,,,,,,,,,,,,,,69063,52395,39051,34626,33242,36088,13351,,,,,,,
FORD,Transit,,,,,,,,,,,,,,,20448,117577,143244,127360,137794,153868,131556,99745,99382,,,,
FORD,Transit Connect,,,,,,,,,,,,,,39703,43210,52221,43232,34473,31923,41598,34596,26112,25140,,,,
FORD,WINDSTAR,222298,179595,148875,113465,2806,,,,,,,,,,,,,,,,,,,,,,
GENESIS,G70,,,,,,,,,,,,,,,,,,,358,11903,9436,10718,12649,13246,12258,11127,676
GENESIS,G80,,,,,,,,,,,,,,,,,6166,16214,7446,7095,3359,6031,4125,5340,4155,3849,245
GENESIS,GV60,,,,,,,,,,,,,,,,,,,,,,,1590,3400,2866,1850,11
GENESIS,GV70,,,,,,,,,,,,,,,,,,,,,,10735,19141,25827,29920,35357,2220
GENESIS,GV80,,,,,,,,,,,,,,,,,,,,,1517,20325,17521,19697,22980,25646,1945
GMC,ACADIA,,,,,,,480,72765,66440,53820,68295,79288,84910,89793,83972,96393,88466,111276,88622,99430,72538,59913,53025,66322,49177,55221,
GMC,Acadia,,,,,,,,,,,,,,89793,83972,96393,88466,111276,88621,99429,72537,59913,53014,,,,
GMC,CANYON,,,,,,34845,23979,20888,14974,10107,7992,9590,9799,929,3070,30077,37449,31306,33493,32826,25191,24125,27821,22458,38486,36477,
GMC,Canyon,,,,,,,,,,,,,,929,3070,30077,37449,32106,33492,32825,25190,24125,27819,,,,
GMC,ENVOY,,,,,,107862,74452,48586,23876,4857,84,5,,,,,,,,,,,,,,,
GMC,Hummer Pickup,,,,,,,,,,,,,,,,,,,,,,1,854,,,,
GMC,JIMMY,79489,30825,964,,,,,,,,,,,,,,,,,,,,,,,,
GMC,Pickup Truck Total,,,,,,,,,,,,,,185318,214903,254216,259129,250049,253046,265148,278206,273050,270195,,,,
GMC,SAFARI,32444,18533,13665,1095,8345,3436,56,13,,,,,,,,,,,,,,,,,,,
GMC,SAVANA,,,,,,34765,29973,25706,22437,12164,13942,17268,22776,16705,26641,21992,20607,29679,19685,24227,15108,36008,25569,21788,42541,20679,
GMC,SIERRA,,,,,,229488,210736,208243,168544,111842,129794,149170,168491,184389,211833,224139,221680,217943,219554,232325,253014,248923,241521,295738,298698,356218,
GMC,SONOMA,51093,42062,41100,35040,3303,65,,,,,,,,,,,,,,,,,,,,,
GMC,Savana,,,,,,,,,,,,,,16705,26641,21992,20607,29679,19684,24226,15108,17744,25569,,,,
GMC,Sierra,,,,,,,,,,,,,,184389,211833,224139,221680,217943,219554,232323,253016,248924,241522,,,,
GMC,TERRAIN,,,,,,,,,,14033,60519,83179,105872,98625,105016,112030,87925,85441,114311,101470,86020,47488,86568,71856,82099,74975,
GMC,Terrain,,,,,,,,,,,,,,99525,105016,112030,87925,85441,114314,101470,86020,47488,86567,,,,
GMC,YUKON,,,,,,73458,71476,63428,39064,29411,28781,34250,29943,28302,41569,42732,53447,49183,74678,74672,63442,84243,82305,82270,87402,93036,
GMC,Yukon,,,,,,,,,,,,,,28302,41569,42732,53447,49183,46190,42510,40965,51365,48220,,,,
GMC,Yukon XL,,,,,,,,,,,,,,31258,29752,31334,37054,35059,34594,32163,22475,32877,34084,,,,
HONDA,ACCORD,,,,,,376293,354441,382231,368161,290056,311381,252304,353204,366678,388435,355557,345135,322655,291071,267567,199458,202676,154612,197947,162723,150196,12739
HONDA,Accord,,,,,,,,,,,,,,366678,388374,355557,345225,322655,291071,267567,199458,202676,154612,,,,
HONDA,CIVIC,,,,,,308415,316638,331095,335126,259722,260218,221235,344996,336181,326081,335384,366927,377286,325760,325650,261225,263787,133932,200381,242005,238661,16563
HONDA,CLARITY,,,,,,6,6,,2,5,15,1,5,6,1,2,8,2455,20174,11654,3664,2597,208,,,,
HONDA,CR-V,,,,,,150219,170028,219160,198505,191214,208963,229703,311069,308454,338581,348720,359673,378600,379021,384168,323502,361271,238155,361457,402791,403768,27019
HONDA,CR-Z,,,,,,,,,,,,,,,,,,,30,2,552,,,,,,
HONDA,CR0V,,,,,,,,,,,,,,303904,335019,345647,357335,377895,379013,384168,333502,361271,238155,,,,
HONDA,CR0Z,,,,,,,,,,,,,,4550,3562,3073,2338,705,38,2,1,,,,,,
HONDA,CROSSTOUR,,,,,,,,,,,,1295,21918,16847,11802,9104,726,5,,,,,,,,,
HONDA,Civic,,,,,,,,,,,,,,336180,325981,335384,366927,377286,325760,325650,261225,263787,133932,,,,
HONDA,Clarity Electric,,,,,,,,,,,,,,,,,,1121,948,576,45,1,,,,,
HONDA,Clarity Fuel Cell,,,,,,,,,,,,,,,,,8,432,624,320,230,282,205,,,,
HONDA,Clarity Plug In,,,,,,,,,,,,,,,,,,903,18602,10758,3940,2314,3,,,,
HONDA,Crosstour,,,,,,,,,,,,,,16847,11802,9104,726,5,,,,,,,,,
HONDA,ELEMENT,,,,,,56262,51829,35218,26640,14884,14247,11534,3,2,,,,,,,,,,,,,
HONDA,EV PLUS,2,,,,,,,,,,,,,,,,,,,,,,,,,,
HONDA,FCX Clarity,,,,,,,,,,,,,,10,2,2,,,,,,,,,,,
HONDA,FIT,,,,,,,27934,56432,79956,67315,54354,59235,53573,53513,59340,52724,56630,47647,35030,35414,32488,8695,,,,,
HONDA,Fit (Jazz),,,,,,,,,,,,,,53513,59340,52724,56630,49454,35300,35414,32488,8695,,,,,
HONDA,HR-V,,,,,,,,,,,,,,,,41969,82041,93764,85494,99104,84027,137090,115416,122206,151468,148771,9488
HONDA,HR0V,,,,,,,,,,,,,,,,41969,82041,94034,85494,99104,84027,137090,115416,,,,
HONDA,Honda Pilot,,,,,,,,,,,,,,126678,108857,136212,120772,127279,159615,135008,123813,143062,99567,,,,
HONDA,INSIGHT,,,,,,666,722,3,,20572,20962,15549,6619,4802,3965,1458,67,3,12513,23686,15932,18685,7628,1,,,
HONDA,Insight,,,,,,,,,,,,,,4802,3965,1458,67,3,12510,23686,15932,19431,7628,,,,
HONDA,ODYSSEY,,,,,,174275,177919,173046,135169,100133,108182,107068,135006,128987,122738,127736,120846,100307,106327,99113,83409,76125,47615,71511,80293,88462,5334
HONDA,Odyssey,,,,,,,,,,,,,,128987,122738,127736,120846,100307,106327,99113,83409,76125,47615,,,,
HONDA,PASSPORT,21892,17448,3524,70,,,,,,,,,,,,,,,,36285,39567,53133,41306,40789,32527,55231,4320
HONDA,PRELUDE,,,1966,10,,,,,,,,,,,,,,,,,,,,,,204,216
HONDA,Passport,,,,,,,,,,,,,,,,,,,,36085,39567,53133,41306,,,,
HONDA,RIDGELINE,,,,,,42593,50193,42795,33417,16464,16142,9759,15438,17723,13389,520,23668,34749,30592,33334,32168,41355,42762,52001,45421,48448,3625
HONDA,Ridgeline,,,,,,,,,,,,,,17723,13389,520,23667,34749,30592,33334,32168,41355,42762,,,,
HONDA,S2000,,,,,,7780,6271,4302,2502,795,85,5,,2,,,,,,,,,,,,,
HUMMER,EV PICKUP,,,,,,,,,,,,,,,,,,,,,,,854,3260,13994,17448,
HUMMER,H1,,,,,,374,365,125,20,,,,,,,,,,,,,,,,,,
HUMMER,H2,,,18861,34529,28898,23213,17107,12431,5995,1513,129,,,,,,,,,,,,,,,,
HUMMER,H3,,,,,,32181,54052,43430,24002,7533,3683,,,,,,,,,,,,,,,,
HYUNDAI,AZERA,,,,,,17645,26833,21948,14461,3808,3051,1707,8444,11221,7232,5539,4942,3060,629,,,,,,,,
HYUNDAI,Accent (Verna),,,,,,,,,,,,,,60458,63309,61486,79766,58955,29090,25628,15975,19614,17823,,,,
HYUNDAI,Avante (Elantra),,,,,,,,,,,,,,247912,222023,241706,208319,198210,200415,175094,105475,124422,117177,,,,
HYUNDAI,Azera,,,,,,,,,,,,,,11221,7232,5539,4942,3060,628,,,,,,,,
HYUNDAI,ELANTRA,,,,,,116336,98853,85724,94720,103269,132246,186361,215854,247912,222023,241706,208319,198210,200415,175094,105475,127360,117177,134149,136698,137811,9091
HYUNDAI,ENTOURAGE,,,,,,,12206,17155,8470,3435,,,,,,,,,,,,,,,,,
HYUNDAI,EQUUS,,,,,,,,,,,,3193,4256,3578,3415,2332,1361,19,,,,,,,,,
HYUNDAI,Equus,,,,,,,,,,,,,,3578,3415,2332,1361,20,,,,,,,,,
HYUNDAI,GENESIS,,,,,,,,,6167,21889,29121,32998,36485,32330,29992,31374,23230,1134,,,,,,,,,
HYUNDAI,Hyundai Genesis,,,,,,,,,,,,,,32330,29992,31374,23230,1152,1,,,,,,,,
HYUNDAI,IONIQ 5,,,,,,,,,,,,,,,,,,,,,,153,22982,33918,44400,47039,2126
HYUNDAI,IONIQ 6,,,,,,,,,,,,,,,,,,,,,,,,12999,12264,9989,344
HYUNDAI,Ioniq,,,,,,,,,,,,,,,,,,11197,15076,19574,13570,19885,3672,,,,
HYUNDAI,KONA,,,,,,,,,,,,,,,,,,,47090,73326,76253,89607,63994,79116,82172,69031,5321
HYUNDAI,Kona,,,,,,,,,,,,,,,,,,,47090,73326,76253,90069,63994,,,,
HYUNDAI,NEXO,,,,,,,,,,,,,,,,,,,8,267,208,421,408,241,93,5,
HYUNDAI,Nexo,,,,,,,,,,,,,,,,,,,8,267,208,430,408,,,,
HYUNDAI,PALISADE,,,,,,,,,,,,,,,,,,,,28736,81905,86282,82688,89509,110055,114015,8604
HYUNDAI,Palisade,,,,,,,,,,,,,,,,,,,,28736,81905,86539,82688,,,,
HYUNDAI,SANTA CRUZ,,,,,,,,,,,,,,,,,,,,,,9634,36480,36675,32033,23962,1212
HYUNDAI,SANTA FE,,,,,,68006,63931,92421,70994,80343,76680,74491,74880,88844,107906,118134,131265,133171,117038,127373,101513,112705,115226,131574,113343,128400,9011
HYUNDAI,SONATA,,,,,,130365,149513,145568,117357,120028,196623,225961,230605,203648,216936,213303,199408,131803,105118,87466,76997,83434,52140,40655,61701,56076,3140
HYUNDAI,Santa Cruz,,,,,,,,,,,,,,,,,,,,,,10042,36480,,,,
HYUNDAI,Santa Fe,,,,,,,,,,,,,,88844,107906,118134,131257,133171,117038,127373,101513,112071,119589,,,,
HYUNDAI,Sonata,,,,,,,,,,,,,,203648,216936,213303,199416,131803,105118,87466,76997,93142,55131,,,,
HYUNDAI,TIBURON,,,,,,20600,17382,14073,9111,8587,,,,,,,,,,,,15744,,,,,
HYUNDAI,TUCSON,,,,,,61048,52067,41476,19027,15411,39594,47232,52614,41906,47306,63591,89713,114735,153792,137381,123657,140721,175307,209624,206126,234230,14428
HYUNDAI,Tucson (ix35),,,,,,,,,,,,,,41906,47306,63591,89713,114735,142299,137381,123657,150949,175307,,,,
HYUNDAI,VELOSTER,,,,,,,,,,,,9284,38102,30811,27598,24245,30053,12658,10871,12849,6785,1942,1920,6,,,
HYUNDAI,VENUE,,,,,,,,,,,,,,,,,,,,1077,17587,20669,27094,28009,24607,27746,1767
HYUNDAI,VERACRUZ,,,,,,,,12589,11004,10210,8741,9146,8683,175,1,,,,,,,,,,,,
HYUNDAI,Veloster,,,,,,,,,,,,,,30711,27598,24245,30053,12658,10871,12849,7591,2112,1920,,,,
HYUNDAI,Venue,,,,,,,,,,,,,,,,,,,,1077,19125,28653,27094,,,,
HYUNDAI,Veracruz (ix55),,,,,,,,,,,,,,175,1,,,,,,,,,,,,
INFINITI,EX,,,,,,,,305,12964,7950,8312,6030,3809,2164,2727,188,,,,,,,,,,,
INFINITI,FX,,,,,,28786,22653,20723,12670,11024,10420,9939,11532,6380,5213,557,,,,,,,,,,,
INFINITI,G,,,34775,64730,71177,68728,60741,71809,64181,47174,58143,58246,59844,36517,,,,,,,,,,,,,
INFINITI,G20,13095,11512,5758,11,,,,,,,,,,,,,,,,,,,,,,,
INFINITI,G35 AND Q40,,,,,,68728,60741,71809,64181,47174,58143,58246,65349,40062,23330,1495,,,,,,,,,,,
INFINITI,J30,1,,,,,,,,,,,,,,,,,,,,,,,,,,
INFINITI,M,,,,,,24000,25658,21885,15618,8501,14618,10818,10280,5283,5034,627,,,,,,,,,,,
INFINITI,Q40,,,,,,,,2,,,41553,43759,46828,30256,15590,11059,4029,10751,612,,,,,,,,
INFINITI,Q45,4178,5726,3717,2440,1972,1129,393,22,,,,,,,,,,,,,,,,,,,
INFINITI,Q50,,,,,,,,,,,,,,17816,36899,43874,44007,40739,34763,25987,16533,13894,4780,6201,5429,529,
INFINITI,Q60,,,,,,,,,,,,,,,,,,,8405,5043,2793,2729,1846,1681,53,,
INFINITI,Q60 (G Coupe),,,,,,,,,,,,,,9806,7740,3949,3970,10751,9017,5043,2792,2728,1847,,,,
INFINITI,Q70,,,,,,,,,,,,,,,,7822,5872,5772,4479,2552,139,,,,,,
INFINITI,Q70 (M),,,,,,,,,,,,,,,5034,8449,5872,5772,4479,2552,139,,1,,,,
INFINITI,QX30,,,,,,,,,,,,,,,,,2259,14093,8101,3229,148,1,,,,,
INFINITI,QX4,21545,18735,16938,4991,10,3,4,,,,,,,,,,,,,,,,,,,,
INFINITI,QX50,,,,,,,,,,,,,,,,5280,16973,16857,25389,18616,20885,19196,11105,9940,10722,5902,
INFINITI,QX50 (EX),,,,,,,,,,,,,,2164,2727,5468,16973,16857,25389,18616,20885,19195,11105,,,,
INFINITI,QX55,,,,,,,,,,,,,,,,,,,,,,4333,5107,5417,3720,2288,
INFINITI,QX56,,,,,,14711,11694,12288,7657,6440,11918,13427,16472,13148,12935,1248,,,,,,,,,,,
INFINITI,QX60,,,,,,,,,,,,,,,,39193,42120,40444,47370,43162,22879,5830,16574,29381,27808,30537,
INFINITI,QX60 (JX),,,,,,,,,,,,,,31602,31192,41770,42120,40444,47370,43162,22880,5829,16573,,,,
INFINITI,QX70,,,,,,,,,,,,,,,,5180,6261,6878,954,6,,,,,,,
INFINITI,QX70 (FX),,,,,,,,,,,,,,6380,5213,5737,6261,6878,954,6,,,,,,,
INFINITI,QX80,,,,,,,,,,,,,,,,14398,16772,17881,19207,19113,16125,12573,7204,12696,10337,13590,
INFINITI,QX80 (QX56),,,,,,,,,,,,,,13148,12935,15646,16772,17881,19207,19113,16125,12572,7206,,,,
ISUZU,ASCENDER,,,,,,7585,4857,2948,1755,288,,,,,,,,,,,,,,,,,
ISUZU,AXIOM,,,,,,1319,124,8,3,,,,,,,,,,,,,,,,,,
ISUZU,RODEO,,,,,,2373,129,4,1,,,,,,,,,,,,,,,,,,
ISUZU,RODEO SPORT,,,,,,7,,,,,,,,,,,,,,,,,,,,,
JAGUAR,E-PACE,,,,,,,,,,,,,,,,,,,5985,4782,3696,2904,1059,528,355,369,
JAGUAR,E0Pace,,,,,,,,,,,,,,,,,,,4479,4782,3412,2363,726,,,,
JAGUAR,F-PACE,,,,,,,,,,,,,,,,,10016,19238,12997,15491,10891,9237,5979,5258,6010,2646,
JAGUAR,F-TYPE,,,,,,,,,,,,,,2250,4112,4659,4069,4108,2268,2279,1701,2112,1366,1119,1156,261,
JAGUAR,F0Pace,,,,,,,,,,,,,,,,,10016,18946,14752,15491,8281,7664,6632,,,,
JAGUAR,F0Type,,,,,,,,,,,,,,2250,4112,4629,4069,4108,2268,2279,1595,1753,1290,,,,
JAGUAR,I-PACE,,,,,,,,,,,,,,,,,,,393,2594,1946,1415,439,509,2886,1651,
JAGUAR,I0Pace,,,,,,,,,,,,,,,,,,,393,2594,1658,1020,306,,,,
JAGUAR,S-TYPE,,,,,,8897,5875,3524,817,18,,,,,,,,,,,,,,,,,
JAGUAR,X-TYPE,,,,,,10941,5214,3198,410,5,,,,,,,,,,,,,,,,,
JAGUAR,XE,,,,,,,,,,,,,,,,,6656,9278,4704,3551,1686,270,10,,,,
JAGUAR,XF,,,,,,,,,5270,7445,6925,5372,6007,7922,5880,5933,6665,4541,2208,1236,748,1183,809,934,1156,637,
JAGUAR,XJ,,,,,,8304,5027,4474,1514,884,4278,5481,5183,5434,4329,3611,3834,2721,1579,1072,1118,28,6,,,,
JAGUAR,XJ Series,,,,,,,,,,,,,,5434,4329,3611,3834,2721,1579,1167,908,15,,,,,
JAGUAR,XK,,,,,,2282,4567,4487,2614,2028,2137,1842,1843,1346,1452,293,3,,,,,,,,,,
JEEP,CHEROKEE,,,,,,,,,,,,,,25786,178409,220260,201420,169882,239437,191397,135854,89126,40322,24610,2838,526,
JEEP,CHEROKEE XJ,141457,74490,,,,,,,,,,,,,,,,,,,,,,,,,
JEEP,COMMANDER,,,,,,17048,88497,62937,27683,12655,8115,105,,,,,,,,,,,,,,,
JEEP,COMPASS,,,,,,,20640,39491,25349,11739,15894,47709,40235,52993,61264,66698,91532,83253,171167,143933,107968,75642,86175,96173,111694,102242,
JEEP,Cherokee,,,,,,,,,,,,,,25786,178508,220260,199736,169882,239437,191397,135855,89126,40322,,,,
JEEP,Cherokee Liberty,,,,,,,,,,,,,,6101,,,,,,,,,,,,,
JEEP,Compass,,,,,,,,,,,,,,52993,61264,66698,94061,83253,171167,143934,107969,75642,86175,,,,
JEEP,GLADIATOR,,,,,,,,,,,,,,,,,,,,40038,77541,89712,77855,55187,42125,56790,
JEEP,GRAND CHEROKEE,,,,,,213584,139148,120937,73678,50328,84635,127744,167458,174275,183786,195958,212704,240696,224908,242969,209786,254445,223344,244597,216148,210081,
JEEP,GRAND WAGONEER,,,,,,,,,,,,,,,,,,,,,,2676,11735,9946,11957,5132,
JEEP,Grand Cherokee,,,,,,,,,,,,,,174275,183786,195958,212273,240696,224908,242969,209786,254445,223344,,,,
JEEP,Jeep Gladiator,,,,,,,,,,,,,,,,,,,,40037,77542,89712,77855,,,,
JEEP,LIBERTY,,,,,,166883,133557,92105,66911,43503,49564,66684,82852,6101,,,,,,,,,,,,,
JEEP,PATRIOT,,,,,,,,40434,55654,31432,38620,54647,67130,75797,93462,118464,125397,40735,621,27,,15,,,,,
JEEP,Patriot,,,,,,,,,,,,,,75797,93462,118464,121926,40735,621,27,3,,,,,,
JEEP,RENEGADE,,,,,,,,,,,,,,,,60946,106605,103434,97062,76886,62847,47138,27551,26012,8441,720,
